,samsung_phone_name,specs,rate
0,"SAMSUNG Galaxy F02s (Diamond Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"₹10,499"
1,"SAMSUNG Galaxy A13 (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"₹13,999"
2,"SAMSUNG Galaxy A12 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"₹12,699"
3,"SAMSUNG Galaxy A21s (Silver, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹17,499"
4,"SAMSUNG M02s (Blue, 64 GB)",4 GB RAM | 64 GB ROM,"₹11,499"
5,"SAMSUNG Galaxy M30s (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹14,490"
6,"SAMSUNG Galaxy M30s (White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹14,990"
7,"SAMSUNG Galaxy F02s (Diamond Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,"₹9,499"
8,"SAMSUNG Galaxy M02 (Blue, 32 GB)",2 GB RAM | 32 GB ROM,"₹7,999"
9,"SAMSUNG Galaxy A21s (White, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹13,999"
10,SAMSUNG B351E/Metro 350,32 MB RAM | 0 MB ROM | Expandable Upto 16 GB,"₹3,249"
11,"SAMSUNG Galaxy M30s (White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 MB,"₹16,999"
12,"SAMSUNG M02s (Red, 64 GB)",4 GB RAM | 64 GB ROM,"₹9,999"
13,"SAMSUNG Galaxy S21 Plus (Phantom Silver, 128 GB)",8 GB RAM | 128 GB ROM,"₹81,999"
14,"SAMSUNG Galaxy A21s (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹14,999"
15,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹25,999"
16,SAMSUNG Guru Music 2,NA ROM | Expandable Upto 16 GB,"₹2,240"
17,"SAMSUNG Galaxy J4 (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"₹9,449"
18,"SAMSUNG Galaxy A10s (Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹9,949"
19,"SAMSUNG Galaxy A12 (White, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹13,999"
20,"SAMSUNG Galaxy A12 (Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹13,999"
21,"SAMSUNG Galaxy J6 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"₹11,099"
22,"SAMSUNG Galaxy A6+ (Gold, 64 GB)",4 GB RAM | 64 GB ROM,"₹25,600"
23,"SAMSUNG Galaxy M02 (Black, 32 GB)",3 GB RAM | 32 GB ROM,"₹8,490"
